nv;Datetime;pv_P;pv_Q;pv_Ep;pv_Eq
380;2024-01-04 23:15:00;0.059572567;0;0.014927841;0
381;2024-01-04 23:30:00;0.05966901;0;0.014905197;0
382;2024-01-04 23:45:00;0.06039783;0;0.015008355;0
383;2024-01-05 00:00:00;0.060685755;0;0.015135448;0
384;2024-01-05 00:15:00;0.133088434;0;0.024221774;0
385;2024-01-05 00:30:00;0.128747523;0;0.032729495;0
386;2024-01-05 00:45:00;0.126889206;0;0.031954591;0
387;2024-01-05 01:00:00;0.12558755;0;0.031559595;0
388;2024-01-05 01:15:00;0.126943815;0;0.031566421;0
389;2024-01-05 01:30:00;0.12704766;0;0.031748934;0
390;2024-01-05 01:45:00;0.095837323;0;0.027860623;0
391;2024-01-05 02:00:00;0.061853082;0;0.019711301;0
392;2024-01-05 02:15:00;0.060395492;0;0.015281072;0
393;2024-01-05 02:30:00;0.059978294;0;0.015046723;0
394;2024-01-05 02:45:00;0.062218888;0;0.015274648;0
395;2024-01-05 03:00:00;0.089359803;0;0.018947336;0
396;2024-01-05 03:15:00;0.135741526;0;0.028137666;0
397;2024-01-05 03:30:00;0.127305285;0;0.032880851;0
398;2024-01-05 03:45:00;0.127197018;0;0.031812788;0
399;2024-01-05 04:00:00;0.128017103;0;0.031901765;0
400;2024-01-05 04:15:00;0.126444315;0;0.031807677;0
401;2024-01-05 04:30:00;0.126997652;0;0.031680246;0
402;2024-01-05 04:45:00;0.127338488;0;0.031792017;0
403;2024-01-05 05:00:00;0.127008221;0;0.031793339;0
404;2024-01-05 05:15:00;0.126731816;0;0.031717505;0
405;2024-01-05 05:30:00;0.125354706;0;0.031510815;0
406;2024-01-05 05:45:00;0.126111978;0;0.031433336;0
407;2024-01-05 06:00:00;0.074359869;0;0.025058981;0
408;2024-01-05 06:15:00;0.05818761;0;0.016568435;0
409;2024-01-05 06:30:00;0.057583088;0;0.014471337;0
410;2024-01-05 06:45:00;0.058045243;0;0.014453541;0
411;2024-01-05 07:00:00;0.059737436;0;0.014722835;0
412;2024-01-05 07:15:00;0.077497235;0;0.017154334;0
413;2024-01-05 07:30:00;0.135619503;0;0.026639592;0
414;2024-01-05 07:45:00;0.124230503;0;0.032481251;0
415;2024-01-05 08:00:00;0.123937824;0;0.031021041;0
416;2024-01-05 08:15:00;0.123792751;0;0.030966322;0
417;2024-01-05 08:30:00;0.123993551;0;0.030973288;0
418;2024-01-05 08:45:00;0.123482969;0;0.030934565;0
419;2024-01-05 09:00:00;0.084322333;0;0.025975663;0
420;2024-01-05 09:15:00;0.058650044;0;0.017871547;0
421;2024-01-05 09:30:00;0.058487799;0;0.01464223;0
422;2024-01-05 09:45:00;0.057219904;0;0.014463463;0
423;2024-01-05 10:00:00;0.061436777;0;0.014832085;0
424;2024-01-05 10:15:00;0.058617222;0;0.01500675;0
425;2024-01-05 10:30:00;0.061891895;0;0.01506364;0
426;2024-01-05 10:45:00;0.059482087;0;0.015171748;0
427;2024-01-05 11:00:00;0.064661321;0;0.015517926;0
428;2024-01-05 11:15:00;0.057282969;0;0.015243036;0
429;2024-01-05 11:30:00;0.065677443;0;0.015370052;0
430;2024-01-05 11:45:00;0.069185747;0;0.016857899;0
431;2024-01-05 12:00:00;0.065104731;0;0.01678631;0
432;2024-01-05 12:15:00;0.062370983;0;0.015934464;0
433;2024-01-05 12:30:00;0.065850711;0;0.016027712;0
434;2024-01-05 12:45:00;0.061510892;0;0.0159202;0
435;2024-01-05 13:00:00;0.06089922;0;0.015301264;0
436;2024-01-05 13:15:00;0.060240903;0;0.015142515;0
437;2024-01-05 13:30:00;0.058644162;0;0.014860633;0
438;2024-01-05 13:45:00;0.057346805;0;0.014498871;0
439;2024-01-05 14:00:00;0.056402306;0;0.014218639;0
440;2024-01-05 14:15:00;0.055819269;0;0.014027697;0
441;2024-01-05 14:30:00;0.057200944;0;0.014127527;0
