;Datetime;pv_P;pv_Q
395;2024-01-05 03:00:00;0.089359803;0
396;2024-01-05 03:15:00;0.135741526;0
397;2024-01-05 03:30:00;0.127305285;0
398;2024-01-05 03:45:00;0.127197018;0
399;2024-01-05 04:00:00;0.128017103;0
400;2024-01-05 04:15:00;0.126444315;0
401;2024-01-05 04:30:00;0.126997652;0
402;2024-01-05 04:45:00;0.127338488;0
403;2024-01-05 05:00:00;0.127008221;0
404;2024-01-05 05:15:00;0.126731816;0
405;2024-01-05 05:30:00;0.125354706;0
406;2024-01-05 05:45:00;0.126111978;0
407;2024-01-05 06:00:00;0.074359869;0
408;2024-01-05 06:15:00;0.05818761;0
409;2024-01-05 06:30:00;0.057583088;0
410;2024-01-05 06:45:00;0.058045243;0
411;2024-01-05 07:00:00;0.059737436;0
412;2024-01-05 07:15:00;0.077497235;0
413;2024-01-05 07:30:00;0.135619503;0
414;2024-01-05 07:45:00;0.124230503;0
415;2024-01-05 08:00:00;0.123937824;0
416;2024-01-05 08:15:00;0.123792751;0
417;2024-01-05 08:30:00;0.123993551;0
418;2024-01-05 08:45:00;0.123482969;0
419;2024-01-05 09:00:00;0.084322333;0
420;2024-01-05 09:15:00;0.058650044;0
421;2024-01-05 09:30:00;0.058487799;0
422;2024-01-05 09:45:00;0.057219904;0
423;2024-01-05 10:00:00;0.061436777;0
424;2024-01-05 10:15:00;0.058617222;0
425;2024-01-05 10:30:00;0.061891895;0
426;2024-01-05 10:45:00;0.059482087;0
427;2024-01-05 11:00:00;0.064661321;0
428;2024-01-05 11:15:00;0.057282969;0
429;2024-01-05 11:30:00;0.065677443;0
430;2024-01-05 11:45:00;0.069185747;0
431;2024-01-05 12:00:00;0.065104731;0
432;2024-01-05 12:15:00;0.062370983;0
433;2024-01-05 12:30:00;0.065850711;0
434;2024-01-05 12:45:00;0.061510892;0
435;2024-01-05 13:00:00;0.06089922;0
436;2024-01-05 13:15:00;0.060240903;0
437;2024-01-05 13:30:00;0.058644162;0
438;2024-01-05 13:45:00;0.057346805;0
439;2024-01-05 14:00:00;0.056402306;0
440;2024-01-05 14:15:00;0.055819269;0
441;2024-01-05 14:30:00;0.057200944;0
442;2024-01-05 14:45:00;0.056598493;0
443;2024-01-05 15:00:00;0.055447241;0
444;2024-01-05 15:15:00;0.056606723;0
445;2024-01-05 15:30:00;0.065113292;0
446;2024-01-05 15:45:00;0.140598301;0
447;2024-01-05 16:00:00;0.12420167;0
448;2024-01-05 16:15:00;0.121738398;0
449;2024-01-05 16:30:00;0.122861256;0
450;2024-01-05 16:45:00;0.122921224;0
451;2024-01-05 17:00:00;0.112245396;0
452;2024-01-05 17:15:00;0.057526202;0
453;2024-01-05 17:30:00;0.057876364;0
454;2024-01-05 17:45:00;0.057772516;0
455;2024-01-05 18:00:00;0.057542687;0
456;2024-01-05 18:15:00;0.059361711;0
457;2024-01-05 18:30:00;0.059718843;0
458;2024-01-05 18:45:00;0.095854003;0
459;2024-01-05 19:00:00;0.131547636;0
460;2024-01-05 19:15:00;0.124169266;0
461;2024-01-05 19:30:00;0.124819864;0
462;2024-01-05 19:45:00;0.124083203;0
463;2024-01-05 20:00:00;0.112309981;0
464;2024-01-05 20:15:00;0.05785462;0
465;2024-01-05 20:30:00;0.05811434;0
466;2024-01-05 20:45:00;0.057959503;0
467;2024-01-05 21:00:00;0.05698104;0
468;2024-01-05 21:15:00;0.057671765;0
469;2024-01-05 21:30:00;0.058524269;0
470;2024-01-05 21:45:00;0.059222772;0
471;2024-01-05 22:00:00;0.10969594;0
472;2024-01-05 22:15:00;0.130407923;0
473;2024-01-05 22:30:00;0.126989405;0
474;2024-01-05 22:45:00;0.127385356;0
475;2024-01-05 23:00:00;0.12598082;0
476;2024-01-05 23:15:00;0.126868999;0
477;2024-01-05 23:30:00;0.12710243;0
478;2024-01-05 23:45:00;0.125301718;0
479;2024-01-06 00:00:00;0.061414488;0
